concept_id,preferred_term,synonyms
24700007,multiple sclerosis,ms|multiple sclerosis disease|ms disease|relapsing remitting ms|rrms|progressive ms
86044005,amyotrophic lateral sclerosis,als|lou gehrig disease|lou gehrig's disease|motor neuron disease|mnd
84757009,epilepsy,seizures|seizure disorder|convulsions|epileptic disorder
191630001,vascular dementia,vascular dementia disease|multi-infarct dementia
40379007,mild cognitive impairment,mci|cognitive impairment|memory impairment
13645005,chronic obstructive pulmonary disease,copd|emphysema|chronic bronchitis|obstructive lung disease|chronic obstructive airways disease
195967001,asthma,bronchial asthma|asthmatic disease|asthma attack|reactive airway disease
40122008,idiopathic pulmonary fibrosis,ipf|pulmonary fibrosis|lung fibrosis|idiopathic fibrosing alveolitis
19829001,lung disorder,lung disease|pulmonary disorder|pulmonary disease|respiratory disease|respiratory disorder
39873001,pulmonary arterial hypertension,pah|pulmonary hypertension|ph|primary pulmonary hypertension
69896004,rheumatoid arthritis,ra|rheumatoid joint disease|ra disease|rheumatoid polyarthritis|adult rheumatoid arthritis
55464009,systemic lupus erythematosus,sle|lupus|lupus erythematosus|systemic lupus
57760004,psoriasis,plaque psoriasis|psoriatic skin disease|chronic plaque psoriasis
33339001,psoriatic arthritis,psa|psoriatic joint disease|psoriatic arthropathy
24526004,inflammatory bowel disease,ibd|intestinal bowel disease|inflammatory bowel|bowel inflammation
34000006,crohn disease,crohns|crohn's|crohn's disease|crohns disease|regional enteritis|ileitis
64766004,ulcerative colitis,uc|colitis|inflammatory colitis|chronic ulcerative colitis
9631008,ankylosing spondylitis,as|spondylitis|axial spondyloarthritis|axspa|bechterew disease
86406008,human immunodeficiency virus infection,hiv|hiv infection|hiv disease|human immunodeficiency virus
62479008,acquired immunodeficiency syndrome,aids|advanced hiv|hiv aids
66071002,hepatitis b,hbv|hepatitis b infection|hbv infection|hepatitis b virus|chronic hepatitis b
50711007,hepatitis c,hcv|hepatitis c infection|hcv infection|hepatitis c virus|chronic hepatitis c
56717001,tuberculosis,tb|mycobacterium tuberculosis|pulmonary tuberculosis|active tuberculosis
840539006,covid-19,covid|coronavirus disease 2019|sars-cov-2 infection|coronavirus|covid19
67782005,acute respiratory distress syndrome,ards|acute lung injury|ali
363346000,malignant neoplasm,cancer nos|malignant disease|malignant condition
73211009,diabetes mellitus,diabetes nos|diabetic condition
416608005,chemotherapy,chemo|chemotherapy treatment|cytotoxic therapy|systemic chemotherapy|antineoplastic therapy
308539001,stem cell transplant,bone marrow transplant|bmt|hsct|hematopoietic stem cell transplant|bone marrow transplantation|autologous stem cell transplant
108290001,radiation therapy,radiation|radiotherapy|rt|xrt|external beam radiation|radiation treatment|radiation oncology
387713003,surgical procedure,surgery|operation|surgical operation|surgical treatment|surgical intervention
86273004,biopsy procedure,biopsy|tissue biopsy|needle biopsy|core biopsy|excisional biopsy
396540005,blood specimen collection,blood test|blood draw|venipuncture|blood sampling|phlebotomy|blood collection
113091000,magnetic resonance imaging,mri|mri scan|magnetic resonance|nmr imaging|brain mri|whole body mri
77477000,computed tomography,ct scan|ct|cat scan|computerized tomography|computed axial tomography
82918005,positron emission tomography,pet scan|pet|fdg pet|pet imaging|pet ct
363680008,radiographic imaging procedure,x-ray|xray|radiograph|plain film|chest x-ray
268745003,echocardiography,echo|echocardiogram|cardiac ultrasound|heart ultrasound|transthoracic echo
169230002,clinical trial,study|clinical study|research trial|investigational study
45670000,immunotherapy,immune therapy|immunological therapy|biological therapy|biotherapy
372687004,amoxicillin,antibiotic|penicillin antibiotic|beta-lactam antibiotic
410942007,drug therapy,medication|pharmacotherapy|drug treatment|pharmacological treatment|systemic therapy
229306004,physical therapy,physiotherapy|rehabilitation|physical rehabilitation|rehab
67811000,prostate specific antigen measurement,psa test|psa measurement|prostate specific antigen|psa level|psa screening
43478001,lymph node procedure,lymph node biopsy|lymph node dissection|sentinel node biopsy
281464007,blood pressure measurement,bp measurement|blood pressure monitoring|bp monitoring|blood pressure check
271442007,fasting blood glucose measurement,fasting glucose test|fasting blood sugar|fbg|fbs
77386006,pregnancy,gestation|pregnant|gravid|maternity
415068001,pulmonary embolism,pe|lung embolism|pulmonary thromboembolism|blood clot lung
61929009,organ transplantation,transplant|organ transplant|solid organ transplant
76571007,cardiomyopathy,cardiac myopathy|heart muscle disease|myocardial disease
41339005,angina pectoris,angina|chest pain|stable angina|unstable angina|anginal pain
233726005,aortic stenosis,aortic valve stenosis|as|aortic valve disease|severe aortic stenosis
195006006,atrial flutter,afl|auricular flutter|cardiac flutter
84114007,heart failure,hfpef|hfref|heart failure with preserved ejection fraction|heart failure with reduced ejection fraction
13645005,chronic obstructive pulmonary disease,obstructive lung disease|chronic obstructive disease
25374005,gastroesophageal reflux disease,gerd|acid reflux|reflux disease|gastro-oesophageal reflux|gord
40433004,hyperlipidemia,high cholesterol|dyslipidemia|hypercholesterolemia|elevated lipids|hyperlipidaemia
44054006,type 2 diabetes mellitus,t2 diabetes|type-2 diabetes|non-insulin-dependent diabetes
46635009,type 1 diabetes mellitus,t1 diabetes|type-1 diabetes|insulin-dependent diabetes
413448000,acute myeloid leukemia,acute myeloid leukaemia|aml leukemia
254637007,non-small cell lung carcinoma,non small cell carcinoma|nsclc cancer
25370001,hepatocellular carcinoma,hepatocellular cancer|hcc cancer|liver cell carcinoma
254837009,malignant neoplasm of breast,breast cancer nos|brca cancer|female breast malignancy
363406005,malignant neoplasm of colon,colon cancer nos|colorectal carcinoma|rectal carcinoma|bowel carcinoma
109989006,multiple myeloma,multiple myeloma disease|plasma cell cancer|myeloma disease
363518003,malignant neoplasm of kidney,kidney carcinoma|renal malignancy|rcc cancer
118600007,malignant lymphoma,lymphoma nos|lymphatic malignancy|lymphoid cancer
